SECONDARY SCIENCE CHEMICAL INVENTORY APPROVED CHEMICALS - ALL,,,,,,,,,,,,,,,,,,,,,
SCHOOL NAME:,,,,,,,,,,,,,,,,,,,,,
COMPLETED BY:,,ItemStatus,Company,Catalog,MSDS,Units,Storage Area,Room #,,Cells with a red triangle in the upper right-hand corner contain comments. Click or hover over the cell to see the comment.,,,,,,,,,,,
DATE COMPLETED:,Sat May 14 2016 at 06:17 PM
Name,ListType,ItemType,Department,Amount,Remind,Notes,,,,,,,,,,,,,,,
APPROVED CHEMICALS,,,,,,,Will be removed,,,STORAGE LOCATION #1,,,,STORAGE LOCATION #2,,,,,OPTIONAL ,,
Chemical Name,School Name,Common Names,Storage Area,Anion,Cation,MSDS FILE #,WHMIS Class,CAS #,Storage Area (from Approved List),Room where Stored,Cabinet or Cupboard where Stored,Volume / Mass,Date Purchased (if known) mm/dd/yy,Room where Stored,Cabinet or Cupboard where Stored,Volume / Mass,Date Purchased (if known) mm/dd/yy,Request Disposal? (Y or N),Grade,Rationale,Supplier
Name,ItemType,ShopList,Department,Amount,Remind,Notes,Status,Company,Cat#,MSDS,Units,Storage,Room,Date,,,,,,,
casein  ,Consumable,No,General,0,60,Notes,Ok,Unknown,9000-71-9,#508,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
catalase  ,Consumable,No,General,0,60,Notes,Ok,Unknown,9001-05-02,#292,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
cholesterol  ,Consumable,No,General,0,60,Notes,Ok,Unknown,57-88-5,#746,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
chromium potassium sulfate  ,Consumable,No,General,200,60,Notes,Ok,Unknown,101041-00-1,#750,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
citric acid  ,Consumable,No,General,10,60,Notes,Ok,Unknown,77-92-9,#386,1,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
cobalt chloride hexahydrate cobaltous chloride,Consumable,No,General,400,60,Notes,Ok,Unknown,7791-13-1,#383,1,General,1044A,Thu Apr 14 2016 at 12:42 PM
cobalt(II) nitrate hexahydrate  cobaltous nitrate,Consumable,No,General,500,60,Notes,Ok,Unknown,10026-22-9,#294,1,General,1044A,Thu Apr 14 2016 at 12:42 PM
colbalt oxide ,Consumable,No,General,0,60,Notes,Ok,Unknown,1308-06-1,#295,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
congo red direct red 28,Consumable,No,General,0,60,Notes,Ok,Unknown,573-58-0,#273,0,Indicators Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
Copper (I) chloride ,Consumable,No,General,100,60,Notes,Ok,Unknown,Unknown,Unknown,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
Copper (II) Ammonium Sulfate ,Consumable,No,General,400,60,Notes,Ok,Unknown,Unknown,Unknown,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
copper (II) bromide cupric bromide,Consumable,No,General,200,60,Notes,Ok,Unknown,7789-45-9,#743,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
Copper (II) chloride Anhydrous ,Consumable,No,General,1000,60,Notes,Ok,Unknown,Unknown,Unknown,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
copper (II) chloride dihyrdate cupric chloride,Consumable,No,General,200,60,Notes,Ok,Unknown,13933-17-0,#740,1,General,2017,Thu Apr 14 2016 at 12:42 PM
copper (II) oxide  cupric oxide,Consumable,No,General,1,60,Notes,Ok,Unknown,1317-38-0,#742,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
copper acetate copper acetate  cupric acetate,Consumable,No,General,0,60,Notes,Ok,Unknown,06046-93-1,#739,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
copper metal  ,Consumable,No,General,13,60,Notes,Ok,Unknown,7440-50-8,#744,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
copper(II) nitrate cupric nitrate  copper dinitrate,Consumable,No,General,200,60,Notes,Ok,Unknown,3251-23-8,#316 - cupric nitrate,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
copper(II) sulfate pentahydrate  cupric sulfate   bluestone,Consumable,No,General,850,60,Notes,Ok,Unknown,7758-99-8,#549,1,General,1044A,Thu Apr 14 2016 at 12:42 PM
crystal violet solution  ,Consumable,No,General,0,60,Notes,Ok,Unknown,Mixture,#304 Discontinued / Archived,0,Indicators Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
Cupric Carbonate ,Consumable,No,General,200,60,Notes,Ok,Unknown,Unknown,Unknown,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
dextrose  anhydrous d-glucose,Consumable,No,General,100,60,Notes,Ok,Unknown,50-99-1,#751,0,Organic Cupboard,1044A ,Thu Apr 14 2016 at 12:42 PM
dextrose  monohydrate d- glucose monohydrate,Consumable,No,General,0,60,Notes,Ok,Unknown,5996-10-01,#548,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
diammonium hydrogenphosphate ammonium phosphate  ammonium hydrogen phosphate,Consumable,No,General,0,60,Notes,Ok,Unknown,7783-28-0,#708,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
diastase of  malt diastase of malt  amylase,Consumable,No,General,0,60,Notes,Ok,Unknown,9000-92-4,#315,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
diethyl ether ether,Consumable,No,General,0,60,Notes,Ok,Unknown,60-29-7,#546,0,Flammable Cabinet,1044A,Thu Apr 14 2016 at 12:42 PM
dimethylglyoxime dimethylglyoxime,Consumable,No,General,0,60,Notes,Ok,Unknown,95-45-4,#721,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
